job_id,views,formatted_work_type,formatted_experience_level,normalized_salary,title_category,state
3884430601,13.0,Full-time,Entry level,97500.0,Data/Analytics,FL
3884430605,7.0,Full-time,Entry level,86000.0,Management/Executive,IN
3884430607,4.0,Full-time,Mid-Senior level,140000.0,Management/Executive,US - Metro Area (Unspecified State)
3884430608,6.0,Full-time,Not Specified,70000.0,Senior/Lead,UT
3884430611,29.0,Contract,Associate,78000.0,Design,IL
3884430616,41.0,Contract,Entry level,87360.0,Data/Analytics,US - Unspecified
3884430655,2.0,Full-time,Not Specified,48880.0,Other,TX
3884430657,24.0,Contract,Associate,46540.0,Healthcare,CA
3884430673,2.0,Full-time,Associate,86049.6,Other,MN
3884430690,19.0,Full-time,Mid-Senior level,90000.0,Senior/Lead,NY
3884430691,7.0,Full-time,Entry level,38334.4,Administrative/Office Support,IN
3884430700,10.0,Full-time,Not Specified,50000.0,Other,US - Metro Area (Unspecified State)
3884430719,35.0,Contract,Associate,62400.0,Senior/Lead,DC
3884430726,4.0,Full-time,Director,167500.0,Senior/Lead,US - Metro Area (Unspecified State)
3884430751,13.0,Full-time,Director,180000.0,Senior/Lead,NY
3884430769,6.0,Part-time,Entry level,57200.0,Other,MN
3884430781,3.0,Full-time,Mid-Senior level,64480.0,Finance,CA
3884430789,12.0,Full-time,Not Specified,112500.0,Engineering,CA
3884430793,3.0,Full-time,Associate,84094.4,Other,MN
3884430801,4.0,Full-time,Not Specified,69680.0,Healthcare,OR
3884430958,40.0,Full-time,Mid-Senior level,91500.0,Senior/Lead,US - Metro Area (Unspecified State)
3884430966,29.0,Full-time,Entry level,35350.0,Other,International/Other
3884431058,52.0,Full-time,Not Specified,75000.0,Management/Executive,UT
3884431121,38.0,Contract,Mid-Senior level,46800.0,Technical/Trades,NY
3884431507,6.0,Temporary,Mid-Senior level,64500.0,Other,NY
3884431523,4.0,Full-time,Mid-Senior level,110000.0,Other,US - Metro Area (Unspecified State)
3884431554,10.0,Full-time,Mid-Senior level,90000.0,Senior/Lead,FL
3884431563,6.0,Full-time,Not Specified,50000.0,Management/Executive,IN
3884431578,72.0,Contract,Not Specified,100000.0,Sales,International/Other
3884431614,5.0,Temporary,Associate,54080.0,Finance,CA
3884431621,7.0,Full-time,Mid-Senior level,82500.0,Data/Analytics,CO
3884431637,1.0,Full-time,Associate,62500.0,Sales,NM
3884431641,15.0,Contract,Mid-Senior level,150800.0,Management/Executive,CA
3884431648,43.0,Full-time,Associate,117656.35,Senior/Lead,NJ
3884431654,15.0,Full-time,Not Specified,137500.0,Legal,CA
3884431706,7.0,Full-time,Entry level,56291.775,Other,NJ
3884431709,28.0,Full-time,Mid-Senior level,72500.0,Management/Executive,CT
3884431728,9.0,Full-time,Mid-Senior level,87672.0,Other,OR
3884431734,67.0,Full-time,Associate,50000.0,Marketing,AL
3884431794,63.0,Full-time,Not Specified,72800.0,Management/Executive,US - Metro Area (Unspecified State)
3884431797,5.0,Internship,Entry level,55949.5,Administrative/Office Support,IA
3884431803,31.0,Full-time,Entry level,47840.0,Sales,FL
3884431809,4.0,Full-time,Not Specified,63440.0,Technical/Trades,NY
3884431822,8.0,Full-time,Mid-Senior level,75000.0,Management/Executive,OR
3884431853,7.0,Full-time,Associate,65000.0,Administrative/Office Support,US - Metro Area (Unspecified State)
3884431956,10.0,Full-time,Entry level,95000.0,Other,US - Metro Area (Unspecified State)
3884431973,4.0,Full-time,Mid-Senior level,32150.0,Administrative/Office Support,GA
3884432301,6.0,Full-time,Not Specified,52500.0,Other,CA
3884432422,23.0,Full-time,Mid-Senior level,77500.0,Senior/Lead,International/Other
3884432436,6.0,Full-time,Not Specified,48880.0,Management/Executive,CA
3884432468,7.0,Contract,Mid-Senior level,100734.4,Other,US - Metro Area (Unspecified State)
3884432469,7.0,Full-time,Associate,66040.0,Senior/Lead,CA
3884432481,11.0,Full-time,Entry level,86000.0,Management/Executive,GA
3884432486,14.0,Contract,Mid-Senior level,93600.0,Other,MA
3884432491,7.0,Contract,Associate,57959.2,Data/Analytics,NC
3884432493,4.0,Contract,Associate,38334.4,Administrative/Office Support,HI
